item_id	item_name	categories	address	city	state
14	New Orleans Hamburger & Seafood Co.	Fish & Chips, Burgers, Seafood, Restaurants	2515 B Manhattan Blvd	Harvey	LA
15	Baileys' Range	Ice Cream & Frozen Yogurt, Burgers, Food, Nightlife, Beer Bar, Bars, Restaurants	920 Olive St	Saint Louis	MO
16	Han Dynasty	Restaurants, Chinese, Szechuan	404 Rt 70 E	Cherry Hill	NJ
17	The Turning Point - Cherry Hill	Breakfast & Brunch, Restaurants, American (Traditional), Food, Coffee & Tea	606 Haddonfield Rd	Cherry Hill	NJ
18	The Old Spaghetti Factory	Italian, Restaurants, Caterers, Event Planning & Services	160 Second Ave N	Nashville	TN
19	Gators Cafe & Saloon	Restaurants, Desserts, Music Venues, Bars, Arts & Entertainment, Food, American (Traditional), Sports Bars, Nightlife	12754 Kingfish Dr	Treasure Island	FL
20	Biscuits Cafe	Restaurants, Mexican, Breakfast & Brunch	1035 Broad Ripple Ave	Indianapolis	IN
21	Cafe Fleur De Lis	Breakfast & Brunch, Coffee & Tea, Food, Restaurants	307 Chartres St	New Orleans	LA
22	Daredevil Hall	Brewpubs, Restaurants, Breweries, Beer Bar, American (New), Nightlife, Bars, Pubs, Burgers, Pizza, Food	2721 E 86th St, Ste 180	Indianapolis	IN
23	The Alexander	Event Planning & Services, Hotels & Travel, Hotels	333 South Delaware St	Indianapolis	IN
24	Mr and Mrs Crab	Nightlife, Cajun/Creole, Bars, Cocktail Bars, Restaurants, Seafood	7550 US Hwy 19 N	Pinellas Park	FL
25	Red Owl Tavern	Breakfast & Brunch, American (New), Restaurants	433 Chestnut St	Philadelphia	PA
26	The Growler Guys	Breweries, Nightlife, Chicken Wings, Pizza, Food, Restaurants, Beer Gardens, Pubs, Bars	7530 Longley Ln, Ste 106	Reno	NV
27	Cafe Du Monde	Restaurants, Donuts, Coffee & Tea, Food	4700 Veterans Blvd	Metairie	LA
28	Glazer Children's Museum	Toy Stores, Shopping, Arts & Entertainment, Museums, Local Flavor, Children's Museums	110 W Gasparilla Plz	Tampa	FL
29	Gran Agave	Restaurants, Mexican	5924 Providence Rd	Riverview	FL
30	Frady's One Stop Food Store	Delis, Food, Grocery, Restaurants	3231 Dauphine St	New Orleans	LA
31	Imperial Woodpecker Snoballs	Food, Shaved Ice, Ice Cream & Frozen Yogurt	3511 Magazine St	New Orleans	LA
32	Tomo Sushi & Ramen	Japanese, Restaurants, Ramen, Sushi Bars	228 Arch St	Philadelphia	PA
33	Coco Thai Bistro	Thai, Restaurants	231 Haverford Ave	Narberth	PA
34	Three Muses	Nightlife, Jazz & Blues, American (New), Music Venues, Restaurants, Gastropubs, Arts & Entertainment	536 Frenchmen St	New Orleans	LA
35	Thai Country Cafe	Thai, Cafes, Restaurants	6223 Delmar Blvd	Saint Louis	MO
36	Butcher & Bee	Middle Eastern, American (New), Restaurants, Mediterranean, Southern	902 Main St	Nashville	TN
37	Santa Barbara County Courthouse	Courthouses, Active Life, Event Planning & Services, Landmarks & Historical Buildings, Public Services & Government, Parks, Venues & Event Spaces	1100 Anacapa St	Santa Barbara	CA
38	Mena's Palace	Restaurants, Southern, Cajun/Creole, Seafood, Breakfast & Brunch	200 Chartres St	New Orleans	LA
39	Timpano Hyde Park	Music Venues, Bars, Restaurants, Italian, Steakhouses, Nightlife, Arts & Entertainment, Cocktail Bars	1610 W Swann Ave	Tampa	FL
40	Persian Room Fine Dining	Restaurants, Persian/Iranian, Mediterranean	9290 N Thornydale Rd, Ste 100	Tucson	AZ
41	The Children's Museum of Indianapolis	Museums, Arts & Entertainment, Children's Museums	3000 N Meridian St	Indianapolis	IN
42	Southport Antique Mall	Shopping, Antiques	2028 E Southport Rd	Indianapolis	IN
43	Ozeki Grill & Thai Kitchen	Thai, Restaurants, Japanese	7340 Nolensville Rd, Ste 105	Nolensville	TN
44	Ralphs Italian Restaurant	Restaurants, Italian	760 S 9th St	Philadelphia	PA
45	American Social	American (Traditional), Restaurants, Venues & Event Spaces, Event Planning & Services, Breakfast & Brunch, Bars, Nightlife	601 S Harbour Island Blvd, Ste 107	Tampa	FL
46	First Watch	Restaurants, Breakfast & Brunch, Cafes, American (Traditional)	985 NW Plaza Dr	St.Ann	MO
47	Sizzle Pie	Bars, Nightlife, Food, Food Delivery Services, Restaurants, Pizza	190 S Center St	Reno	NV
48	Zeppelin	Event Planning & Services, Lounges, Venues & Event Spaces, Breakfast & Brunch, Tacos, Food, Cocktail Bars, Vegan, Restaurants, Mexican, American (Traditional), Nightlife, Bars	1445 S Meadows Pkwy	Reno	NV
49	Uncle Maddios Pizza	Restaurants, Salad, Pizza, Gluten-Free	3949 Van Dyke Rd	Lutz	FL
50	Prep & Pastry	Restaurants, Cocktail Bars, Bars, Comfort Food, American (New), Sandwiches, Nightlife, Breakfast & Brunch	2660 N Campbell Ave	Tucson	AZ
51	Top Shelf Sports Lounge	Burgers, Sports Bars, Bars, Lounges, Restaurants, Salad, Wraps, Nightlife, American (New)	3173 Cypress Ridge Blvd	Wesley Chapel	FL
52	Granite City Food & Brewery	Desserts, Breweries, Breakfast & Brunch, Restaurants, Barbeque, American (New), Food, American (Traditional)	49 W Maryland St, Ste B03A	Indianapolis	IN
53	Luke	German, Restaurants, Seafood, Cocktail Bars, French, Brasseries, American (New), Nightlife, Bars, Cajun/Creole, Breakfast & Brunch	333 Saint Charles Ave	New Orleans	LA
54	Mr. Baja Fish	Seafood, Restaurants, Mexican	405 E Wetmore Rd	Tucson	AZ
55	Muriel's Jackson Square	Cajun/Creole, Restaurants	801 Chartres St	New Orleans	LA
56	Livery - Indianapolis	Food, American (New), Nightlife, Bars, Empanadas, Latin American, Restaurants, Mexican, Tacos	720 N College Ave	Indianapolis	IN
57	PrimoHoagies	Italian, Sandwiches, Restaurants	128 S 11th St	Philadelphia	PA
58	Burger Study	Restaurants, Beer Bar, Salad, Burgers, Bars, Nightlife	28 W Georgia St	Indianapolis	IN
59	Cerveza Jack's	Nightlife, Restaurants, Bars, Mexican	135 2nd Ave N	Nashville	TN
60	Upland Carmel Tap House	Nightlife, Food, Bars, Breweries, Pizza, Brewpubs, Pubs, Restaurants	820 E 116th St	Carmel	IN
61	Turning Point of North Wales	Restaurants, Breakfast & Brunch, Food, Juice Bars & Smoothies, American (New), Coffee & Tea, Sandwiches	1460 Bethlehem Pike	North Wales	PA
62	Coffeebar	Bars, Coffee & Tea, Restaurants, Cafes, Food, Nightlife, Breakfast & Brunch, Wine Bars, Sandwiches	682 Mt Rose St	Reno	NV
63	Sushi Rose	Sushi Bars, Restaurants	2005 Sierra Highlands Dr, Ste 147A	Reno	NV
64	Barro's Pizza	Italian, Pizza, Restaurants, Chicken Wings, Sandwiches	5884 W Arizona Pavilions Dr	Marana	AZ
65	Umami	Korean, Sushi Bars, Restaurants, Thai	6900 Lenox Village Dr, Ste 28	Nashville	TN
66	Albasha Greek & Lebanese Café	Middle Eastern, Greek, Restaurants, Lebanese, Mediterranean	3501 Severn Ave, Ste 1	Metairie	LA
67	Franklin Burger	Burgers, Restaurants	1109 Davenport Blvd, Ste 500	Franklin	TN
68	Willie's Chicken Shack	Chicken Shop, Restaurants, American (Traditional), Chicken Wings, Soul Food, American (New), Cajun/Creole	707 Canal St	New Orleans	LA
69	The Three Coins Diner	American (Traditional), Restaurants	7410 N Nebraska Ave	Tampa	FL
70	Dickey's Barbecue Pit	Restaurants, Chicken Wings, Barbeque, Southern, American (Traditional)	2119 Tyrone Blvd N	St. Petersburg	FL
71	Rush Bowls	Food, Restaurants, Acai Bowls, Fruits & Veggies, Specialty Food, Juice Bars & Smoothies, Vegetarian	1201 Demonbreun St, Ste 110	Nashville	TN
72	Denny's	Diners, Restaurants, Breakfast & Brunch, American (Traditional)	4795 Kentucky Ave	Indianapolis	IN
73	Biscuit Love: Hillsboro Village	Southern, Breakfast & Brunch, Restaurants	2001 Belcourt Ave	Nashville	TN
74	Bareburger - Midtown Village	Restaurants, Burgers, American (New), Food, American (Traditional), Nightlife, Bars, Cocktail Bars, Salad	1109 Walnut St	Philadelphia	PA
75	Incrediplex	Specialty Schools, Education, Gyms, Sports Clubs, Arts & Entertainment, Venues & Event Spaces, Arcades, Event Planning & Services, Recreation Centers, Fitness & Instruction, Art Schools, Local Services, Child Care & Day Care, Active Life	6002 Sunnyside Rd	Indianapolis	IN
76	TeeJay's Sweet Tooth	Food, Ice Cream & Frozen Yogurt, Desserts, Donuts	8660 Purdue Rd, Ste 600	Indianapolis	IN
77	Suraya	Active Life, Beer Gardens, Grocery, Middle Eastern, Specialty Food, American (New), Parks, Cafes, Food, Nightlife, Restaurants, Coffee & Tea, Lebanese	1528 Frankford Ave	Philadelphia	PA
78	The Little Lamb	Pubs, Gastropubs, Bars, Nightlife, American (New), Restaurants	2475 N McMullen Booth Rd, Ste J	Clearwater	FL
79	Honey's Sit-N-Eat	Southern, Restaurants, American (Traditional)	800 N 4th St	Philadelphia	PA
80	Prohibition Taproom	American (Traditional), Bars, Nightlife, Restaurants, Beer Bar, Gastropubs, Breakfast & Brunch, Tapas/Small Plates	501 N 13th St	Philadelphia	PA
81	BOIL Seafood House	Seafood, Cajun/Creole, Restaurants, Comfort Food	3340 Magazine St	New Orleans	LA
82	Brew Brothers	Bars, Nightlife, American (Traditional), Music Venues, Food, Arts & Entertainment, Restaurants, Breweries	345 N Virginia St	Reno	NV
83	Compère Lapin	Personal Chefs, Event Planning & Services, Restaurants, Caribbean, American (New), American (Traditional), French	535 Tchoupitoulas St	New Orleans	LA
84	Bourbon & Branch	Bars, American (Traditional), Breakfast & Brunch, Music Venues, Arts & Entertainment, Nightlife, Restaurants	705 N 2nd St	Philadelphia	PA
85	Cafe Beignet on Bourbon Street	Sandwiches, Breakfast & Brunch, Cajun/Creole, Cafes, Food, Restaurants, Donuts	311 Bourbon St	New Orleans	LA
86	Mac Mart	American (Traditional), Restaurants, American (New)	104 South 18th St	Philadelphia	PA
87	Carmine's Steakhouse	Italian, Restaurants, Steakhouses	20 S 4th St	Saint Louis	MO
88	Beck's Cajun Cafe	Restaurants, Cajun/Creole	51 N 12th St	Philadelphia	PA
89	Nauti Mermaid Crab House	Restaurants, Seafood, Piano Bars, Nightlife	110 Chestnut St	Philadelphia	PA
90	Abunai Poke	Poke, Food, Restaurants, Hawaiian	111 S Independence Mall E	Philadelphia	PA
91	Bacchanal Fine Wine & Spirits	Jazz & Blues, Bars, Arts & Entertainment, Beer, Wine & Spirits, Wine Bars, Food, Nightlife	600 Poland Ave	New Orleans	LA
92	Convivio Italian Artisan Cuisine	Restaurants, Pizza, Salad, Italian	11529 Spring Mill Rd, Ste 300	Carmel	IN
93	Dots Diner - Williams Blvd.	Diners, Breakfast & Brunch, Restaurants, Burgers	2239 Williams Blvd	Kenner	LA
94	Fireside Pizza Cafe	Restaurants, Italian, Pizza	1104 Nebraska Ave	Palm Harbor	FL
95	The Golden Eagle Diner and Restaurant	Breakfast & Brunch, Restaurants, Food, Diners, Bakeries	300 Bath Street Route 13	Bristol	PA
96	Rusty Pelican - Tampa	African, Venues & Event Spaces, Steakhouses, Restaurants, Seafood, American (New), Event Planning & Services	2425 Rocky Point Dr	Tampa	FL
97	T J Courtney's Restaurant and Catering	Restaurants, Burgers, Pizza, Sandwiches, Southern, American (Traditional), Comfort Food	4066 N Mount Juliet Rd, Ste B	Mt Juliet	TN
98	Schlafly Bottleworks	Local Flavor, Food, Brewpubs, Breweries, Restaurants, Pizza, American (Traditional), American (New)	7260 Southwest Ave	Saint Louis	MO
99	Sociale Italian Tapas & Pizza Bar	Restaurants, Cocktail Bars, Italian, Nightlife, Pizza, Tapas/Small Plates, Bars	5427 Bayshore Blvd	Tampa	FL
100	St Mary's Mexican Food	Restaurants, Mexican	1030 W St Marys Rd	Tucson	AZ
101	Milk and Honey Nashville	American (New), Restaurants, American (Traditional), Food, Breakfast & Brunch, Coffee & Tea, Pizza	214 11th Ave S	Nashville	TN
102	Ole Red	Bars, Nightlife, Restaurants, Music Venues, American (New), Arts & Entertainment, Event Planning & Services, Southern, Venues & Event Spaces	300 Broadway	Nashville	TN
103	Desire Oyster Bar	Southern, Event Planning & Services, Restaurants, Cajun/Creole, Seafood, Live/Raw Food, Hotels & Travel, Hotels	300 Bourbon St	New Orleans	LA
104	Sam's Beach Bar	Seafood, American (Traditional), Music Venues, Caribbean, Arts & Entertainment, Nightlife, Restaurants	6325 Clark St	Hudson	FL
105	Mi Ranchito	Mexican, Restaurants, Seafood, Nightlife, Bars	887 Kingsland Ave	University City	MO
106	Tennessee Brew Works	Breweries, Venues & Event Spaces, Beer Bar, Food, Pubs, Tours, Nightlife, Restaurants, Event Planning & Services, Hotels & Travel, Bars, Beer Tours, Arts & Entertainment, American (Traditional), Gastropubs, Music Venues, American (New)	809 Ewing Ave	Nashville	TN
107	Tropical Smoothie Cafe	Food, Juice Bars & Smoothies, Restaurants, Fast Food	365 W 116th St	Carmel	IN
108	Dio Modern Mediteranean	Greek, Restaurants, Mediterranean	519 N Franklin St	Tampa	FL
109	Pho Street	Restaurants, Vietnamese	2104 Market St	Philadelphia	PA
110	District Donuts Sliders Brew	Food, Donuts, Burgers, American (Traditional), Coffee & Tea, Restaurants	2209 Magazine St	New Orleans	LA
111	Barone's Tuscan Grill	Vegetarian, Italian, Restaurants, Event Planning & Services, Gluten-Free, Pizza, Caterers	280 Young Ave	Moorestown	NJ
112	Joey's New York Pizza and Italian Restaurant	Italian, Pizza, Restaurants	30681 US Hwy 19	Palm Harbor	FL
113	Deccan Spice	Nightlife, Venues & Event Spaces, Indian, Bars, Buffets, Restaurants, Lounges, Soup, Event Planning & Services, Salad	2325 Ulmerton Rd, Ste 28	Clearwater	FL
114	Citizens Bank Park	Active Life, Baseball Fields, Stadiums & Arenas, Arts & Entertainment	1 Citizens Bank Way	Philadelphia	PA
115	West Ave Grille Jenkintown Restaurant and Food Truck	Restaurants, Sandwiches, Breakfast & Brunch, Caterers, American (New), Comfort Food, Food Trucks, Event Planning & Services, American (Traditional), Food	718 West Ave	Jenkintown	PA
116	Chicken and Watermelon	Chicken Wings, Restaurants	3400 S Claibourne Ave	New Orleans	LA
117	Crown Candy Kitchen	Specialty Food, Food, American (Traditional), Diners, Restaurants, Candy Stores	1401 St Louis Ave	St. Louis	MO
118	Koizi	Sushi Bars, Restaurants, Japanese	4120 Little Rd	New Port Richey	FL
119	Los Jefes Tortilleria & Grill	Seafood, Tex-Mex, Restaurants, Tacos, Mexican	3224 Edenborn Ave	Metairie	LA
120	HipCityVeg - University City	Sandwiches, Food, Burgers, Restaurants, Vegan, Desserts	214 S 40th St	Philadelphia	PA
121	Sweet Charlie's	Food, Ice Cream & Frozen Yogurt, Waffles, Restaurants, Desserts	8436 W Hillsborough Ave	Tampa	FL
122	India Sizzling II	Indian, Restaurants	4150 Lafayette Rd, Ste E	Indianapolis	IN
123	Dagwood's Pub	Restaurants, Pubs, Nightlife, Bars, Seafood	4625 Linden Ave	Philadelphia	PA
124	Steamboat Natchez	Boat Charters, Event Planning & Services, Hotels & Travel, Boat Tours, Restaurants, Active Life, Tours, Boating	Toulouse St & Mississippi River	New Orleans	LA
125	Saki Endless Sushi & Hibachi Eatery	Restaurants, Salad, Sushi Bars, Soup, Japanese	2643 Gulf To Bay Blvd, Ste 1560	Clearwater	FL
126	Earl's New American	Nightlife, American (New), Bars, Seafood, Restaurants, Wine Bars, Cocktail Bars	2400 Street Rd	New Hope	PA
127	Hellas Restaurant	Food, Bakeries, Greek, Restaurants, Soup	785 Dodecanese Blvd	Tarpon Springs	FL
128	SF Kitchen	Vietnamese, Chinese, Food, Restaurants	1775 Mill St	Reno	NV
129	Spice Finch	Breakfast & Brunch, Restaurants, Mediterranean	220 S 17th St	Philadelphia	PA
130	la Madeleine	Restaurants, Fruits & Veggies, French, Caterers, Food, Event Planning & Services, Specialty Food, Bakeries, Sandwiches, Cafes, Breakfast & Brunch	3300 Severn, Ste 201	Metairie	LA
131	Buddy Brew Coffee	Food, Coffee & Tea	2020 W Kennedy Blvd	Tampa	FL
132	Creole Creamery	Food, Ice Cream & Frozen Yogurt	4924 Prytania St	New Orleans	LA
133	Caviar & Bananas	Coffee & Tea, Restaurants, Wine Bars, Bars, Nightlife, American (Traditional), Event Planning & Services, Food, Caterers, Breakfast & Brunch, Cafes, Diners	2031 Broadway	Nashville	TN
134	Bar Avalon	Nightlife, Bars, American (New), Restaurants, Italian, Cocktail Bars, Mediterranean, Seafood	116 E Gay St	West Chester	PA
135	Nail Bar	Beauty & Spas, Nail Salons	8970 E 96th St	Indianapolis	IN
136	Cedar Park Cafe	Diners, Restaurants, Sandwiches, Breakfast & Brunch, Vegetarian	4914 Baltimore Ave	Philadelphia	PA
137	Mr. B's Bistro	Bars, Breakfast & Brunch, Restaurants, Barbeque, Cajun/Creole, Cafes, Cocktail Bars, Nightlife	201 Royal St	New Orleans	LA
138	Havana Dreamers Cafe	Ethnic Food, Specialty Food, Food, Restaurants, Breakfast & Brunch, Cuban	3104 Town Ave, Ste 107	Trinity	FL
139	Naf Naf Grill	Middle Eastern, Caterers, Salad, Restaurants, Falafel, Event Planning & Services, Mediterranean, Fast Food	100 Main St, Ste 160	King of Prussia	PA
140	Blaze Pizza	Salad, Restaurants, Pizza, Fast Food	537 South Meadows Pkwy, Ste 160	Reno	NV
141	Morrow's	Burgers, Nightlife, Cajun/Creole, Bars, Restaurants, Seafood	2438 St Claude Ave	New Orleans	LA
142	The Independent	Restaurants, Nightlife, Pubs, Food, Bars, American (New), German, Coffee & Tea, American (Traditional), Beer Bar	5016 N Florida Ave	Tampa	FL
143	Cate Zone Chinese Cafe	Chinese, Restaurants, Barbeque	8148 Olive Blvd	University City	MO
144	Edley's Bar-B-Que - 12 South	Barbeque, Restaurants, Dive Bars, Cocktail Bars, Southern, Nightlife, Bars	2706 12th Ave S	Nashville	TN
145	Manhattan Nails Salon	Nail Salons, Beauty & Spas, Eyelash Service, Hair Removal, Waxing	3511 S Manhattan Ave	Tampa	FL
146	Perfect Taste	Restaurants, Szechuan, Chinese	6310 Delmar Blvd	University City	MO
147	Kuchi Sushi & Hibachi	Restaurants, Japanese, Asian Fusion, Sushi Bars, Teppanyaki	9206 Anderson Rd	Tampa	FL
148	Brixx Craft House	American (Traditional), Pubs, Sports Bars, Nightlife, Bars, Gastropubs, Beer Bar, Restaurants, Cocktail Bars	7700 W State St, Ste 100	Boise	ID
149	Chilispot	Restaurants, Chinese, Szechuan, Noodles	7930 Olive Blvd	St Louis	MO
150	Parada Maimon	Latin American, Caribbean, Dominican, Mexican, Restaurants	345 N 12th St	Philadelphia	PA
151	Steak ’n Shake	Fast Food, Diners, American (New), Restaurants, Burgers, Breakfast & Brunch, American (Traditional)	7350 Gravois	St. Louis	MO
152	Two Chicks Café - CBD	Juice Bars & Smoothies, American (Traditional), Restaurants, Food, Breakfast & Brunch	920 Gravier St	New Orleans	LA
153	Santa Barbara Shellfish Company	Live/Raw Food, Restaurants, Seafood, Beer Bar, Beer, Wine & Spirits, Bars, Food, Nightlife	230 Stearns Wharf	Santa Barbara	CA
154	Hertz Rent A Car	Car Rental, Hotels & Travel	10278 Natural Bridge Rd	St Louis	MO
155	Primanti Bros - Indianapolis	American (New), Bars, Sandwiches, Salad, American (Traditional), Restaurants, Pizza, Sports Bars, Nightlife	49 W Maryland St	Indianapolis	IN
156	Lobster Haven	Specialty Food, Seafood Markets, Seafood, Food, Restaurants	12807 W Hillsborough Ave	Tampa	FL
157	Imprint Beer	Bars, Breweries, Nightlife, Beer Bar, Pubs, Food	1500 Industry Rd, Ste O	Hatfield	PA
158	Boat Run Oyster	Live/Raw Food, Food, Seafood, Restaurants, Specialty Food	615 Channelside Dr, Ste 5	Tampa	FL
159	District Coffee	Coffee & Tea, Food	2927 Sidco Dr	Nashville	TN
160	The Honu	Poke, Breakfast & Brunch, Parks, Mexican, Soup, Nightlife, Food, American (New), Restaurants, Bars, Music Venues, Active Life, Sandwiches, Tiki Bars, Hawaiian, Seafood, Arts & Entertainment, Dog Parks, Tex-Mex, Salad	516 Grant St	Dunedin	FL
161	Brick & Mortar	Nightlife, Bars, American (New), Restaurants, Wine Bars	539 Central Ave	Saint Petersburg	FL
162	Tokyo	Chinese, Sushi Bars, Japanese, Restaurants	7911 W Hillsborough Ave	Tampa	FL
163	Olio	Wine Bars, Bars, Nightlife, American (New), Mediterranean, Restaurants	1634 Tower Grove Ave	Saint Louis	MO
164	Dress Up	Accessories, Women's Clothing, Fashion, Shopping, Jewelry	1704 21st Ave S	Nashville	TN
165	Pinocchio's Bar & Grill	Food, American (New), Restaurants, Desserts, Italian	4820 Vista Blvd	Sparks	NV
166	Dewey's Pizza	Restaurants, Pizza, Italian, Salad, Gluten-Free	112 E Vandalia St	Edwardsville	IL
167	Jesse's Steak and Seafood	Sandwiches, Steakhouses, Restaurants, Seafood	524 W Brandon Blvd	Brandon	FL
168	8th & Union Kitchen	Vietnamese, Asian Fusion, Bars, American (New), Restaurants, Breakfast & Brunch, Nightlife, Thai, Gluten-Free	801 N Union St	Wilmington	DE
169	Three Carrots Fountain Square	Vegan, Restaurants	920 Virginia Ave	Indianapolis	IN
170	The Pasta House	Italian, Restaurants, Food, Pasta Shops, Specialty Food	1701 Lambert International Airport, Terminal 2, Terminal 2, Gate E6	St. Louis	MO
171	Tuna Bar	Sushi Bars, Restaurants, Japanese	205 Race St	Philadelphia	PA
172	10th Street Diner	Vegan, Vegetarian, Restaurants	3301 E 10th St	Indianapolis	IN
173	Carnival Cruise Lines	Hotels & Travel, Tours, Arts & Entertainment	651 Channelside Dr	Tampa	FL
174	Monon Coffee Company	Restaurants, Food, Coffee & Tea	920 E Westfield Blvd	Indianapolis	IN
175	Ace Hotel New Orleans	Hotels & Travel, Hotels, Event Planning & Services	600 Carondelet St	New Orleans	LA
176	Li'l Dizzy's Cafe	Restaurants, Cajun/Creole	1500 Esplanade Ave	New Orleans	LA
177	Riverview Fresh Market	Food, Grocery, Ethnic Grocery, International Grocery	9613 US Hwy 301 S	Riverview	FL
178	Bobby Hotel	Hotels, Restaurants, Cocktail Bars, Event Planning & Services, Lounges, Hotels & Travel, Bars, Nightlife	230 4th Ave N	Nashville	TN
179	Massage Studio	Sports Medicine, Health & Medical, Reflexology, Doctors, Day Spas, Physical Therapy, Beauty & Spas, Massage Therapy, Massage	2506 W Azeele St	Tampa	FL
180	Germantown Pub	Chicken Wings, Breakfast & Brunch, Pubs, Restaurants, Burgers, Bars, Sandwiches, Southern, Nightlife, Cajun/Creole, Salad, Sports Bars	708 Monroe St	Nashville	TN
181	St. Pete Beach	Local Flavor, Parks, Beaches, Active Life	4700 Gulf Blvd	St Pete Beach	FL
182	Ten For Thai Esane	Laotian, Vietnamese, Thai, Restaurants	907 12th Ave S	Nashville	TN
183	Revolucion	Bars, Tiki Bars, Restaurants, Nightlife, Mexican	1132 Prospect St	Indianapolis	IN
184	Rubyz Threading Studio	Hair Removal, Threading Services, Eyelash Service, Waxing, Eyebrow Services, Beauty & Spas	11917 Sheldon Rd	Tampa	FL
185	Tampa Bay Brewing Company Westchase	American (New), Breweries, Food, American (Traditional), Restaurants, Gastropubs	13937 Monroe's Business Park	Tampa	FL
186	Insomnia Cookies	Ice Cream & Frozen Yogurt, Desserts, Food Delivery Services, Bakeries, Food	345 E Congress St, Ste 145	Tucson	AZ
187	Firebirds Wood Fired Grill	Seafood, Restaurants, Bars, Desserts, Steakhouses, Cocktail Bars, American (New), Food, Wine Bars, Nightlife	1501 Beale St	St Charles	MO
188	Landry's Seafood House	Restaurants, Cajun/Creole, Seafood	620 Decatur St, Unit 1A	New Orleans	LA
189	Tria Cafe Wash West	Beer, Wine & Spirits, Wine Bars, Modern European, American (New), Cheese Shops, Specialty Food, Food, Restaurants, Bars, Nightlife	1137 Spruce St	Philadelphia	PA
190	Harbor Seafood & Oyster Bar	Seafood, Restaurants	3207 Williams Blvd	Kenner	LA
191	KELP Sushi Joint	Japanese, Sushi Bars, Food, Restaurants, Asian Fusion, Poke, Acai Bowls	3401 W Bay To Bay Blvd, Ste D	Tampa	FL
192	European Wax Center	Beauty & Spas, Skin Care, Hair Removal, Waxing	3830 West Neptune St	Tampa	FL
193	Lloyd Whiskey Bar	Nightlife, Restaurants, Wine Bars, Cocktail Bars, Gastropubs, Bars, American (New), Lounges	529 E Girard Ave	Philadelphia	PA
194	J'aime French Bakery	Food, Juice Bars & Smoothies, Coffee & Tea, Restaurants, Bakeries, Cafes	212 S 12th St	Philadelphia	PA
195	G Peppers Grill & Tavern	Restaurants, Mexican, American (Traditional)	8745 Gunn Hwy	Odessa	FL
196	BJ's Restaurant & Brewhouse	Food, American (New), Restaurants, Pizza, Breweries	25628 Sr 56	Lutz	FL
197	Hook & Reel Cajun Seafood & Bar	Restaurants, Seafood, Cajun/Creole, Sandwiches	1510 N Eagle Rd	Meridian	ID
198	Avola Kitchen + Bar	Sicilian, Tapas Bars, Pizza, Italian, Nightlife, Restaurants, Mediterranean, Bars	625 N Morehall Rd	Malvern	PA
199	sweetgreen	Restaurants, Salad, Vegetarian	350 Mall Blvd, Ste 3035	King Of Prussia	PA
200	Marjie's Grill	Barbeque, Southern, Pan Asian, Thai, Vietnamese, Asian Fusion, Salad, Restaurants	320 S Broad Ave	New Orleans	LA
201	Bab Café - Reno	Restaurants, Cafes, Korean, Gluten-Free, Comfort Food, Vegetarian, Vegan, Chicken Wings	303 W 3rd St, Ste 130	Reno	NV
202	Gourmet Pizza Company	Pizza, Restaurants, Gluten-Free, Vegan	610 S Armenia Ave, Ste 101	Tampa	FL
203	Katie's Pizza & Pasta Osteria	Pasta Shops, Bars, Nightlife, Specialty Food, Cocktail Bars, Breakfast & Brunch, Restaurants, Pizza, Food, Italian	14171 Clayton Rd	Town and Country	MO
